year,geography,real_rent,cs_home,real_rent_reindexed,cs_home_reindexed
1990,Seattle,NA,65.51139754399742,NA,0.82130408115855
1991,Seattle,NA,65.97456461819559,NA,0.8271107197368485
1992,Seattle,NA,67.13936905163683,NA,0.8417136540475442
1993,Seattle,NA,68.53038277706075,NA,0.8591525317462066
1994,Seattle,NA,71.2322002166935,NA,0.893024709304706
1995,Seattle,NA,72.24554633467491,NA,0.905728839174098
1996,Seattle,NA,74.10839270819875,NA,0.9290829941227694
1997,Seattle,172.8,79.76509437477233,1,1
1998,Seattle,178.308,88.65822414606792,1.0318749999999999,1.1114914968884968
1999,Seattle,185.983,96.52988958586717,1.0762905092592592,1.2101770873902096
2000,Seattle,192.883,104.42489304132133,1.1162210648148148,1.3091552622088825
2001,Seattle,203.708,109.94090567148176,1.1788657407407406,1.3783084760726274
2002,Seattle,209.3,114.4340913331185,1.2112268518518519,1.4346387004252212
2003,Seattle,208.492,120.24233343651167,1.2065509259259257,1.507455540283812
2004,Seattle,208.217,131.70929828264943,1.2049594907407408,1.6512147238718209
2005,Seattle,210.533,152.41069000560626,1.2183622685185183,1.9107441820291995
2006,Seattle,219.183,176.86062406953351,1.2684201388888887,2.2172684111494014
2007,Seattle,233.823,188.65029797794676,1.353142361111111,2.36507333761285
2008,Seattle,251.975,174.81059047203775,1.4581886574074072,2.191567525147013
2009,Seattle,258.997,149.74466968592776,1.4988252314814814,1.8773207862371462
2010,Seattle,252.464,144.40627163015742,1.4610185185185185,1.8103942929180492
2011,Seattle,253.894,134.91263730743083,1.4692939814814814,1.6913743833054407
2012,Seattle,265.934,137.7699001965415,1.5389699074074075,1.7271953512552305
2013,Seattle,277.988,153.96226895898042,1.6087268518518518,1.9301960358198331
2014,Seattle,293.382,167.12413207564816,1.6978125,2.095203840547392
2015,Seattle,309.55,180.334237356059,1.7913773148148147,2.2608164482169046
2016,Seattle,329.325,199.79993812016775,1.905815972222222,2.5048542810144205
2017,Seattle,351.947,225.27349066782384,2.036730324074074,2.8242114227231716
2018,Seattle,374.98,248.70170008651576,2.170023148148148,3.117926481952158
2019,Seattle,387.615,252.30563385705526,2.243142361111111,3.163108322440011
2020,Seattle,402.408,274.0526721070098,2.32875,3.4357468546252443
2021,Seattle,407.376,333.8186229255166,2.3575,4.185021349778468
2022,Seattle,NA,NA,NA,NA
1989,Phoenix,NA,67.29234651160375,NA,0.5871509175749151
1990,Phoenix,NA,66.26127812037308,NA,0.5781544598293201
1991,Phoenix,NA,65.33986165270758,NA,0.5701147561705223
1992,Phoenix,NA,66.22458101840309,NA,0.5778342638752333
1993,Phoenix,NA,68.29798807415116,NA,0.5959255167204415
1994,Phoenix,NA,72.75608560760867,NA,0.6348240868120145
1995,Phoenix,NA,76.90697525134142,NA,0.6710421530470749
1996,Phoenix,NA,81.07993190427241,NA,0.7074527621992804
1997,Phoenix,NA,84.54347852460558,NA,0.7376735032138836
1998,Phoenix,NA,89.45487282489125,NA,0.7805272573103866
1999,Phoenix,NA,96.08866539825667,NA,0.8384095812055937
2000,Phoenix,NA,103.55946112518292,NA,0.9035950709896825
2001,Phoenix,NA,109.1418670390575,NA,0.952303652641563
2002,Phoenix,100.9,114.60826253927783,1,1
2003,Phoenix,102,121.524001690836,1.0109018830525272,1.0603424133507657
2004,Phoenix,102.6,136.68598878036516,1.016848364717542,1.1926364273563697
2005,Phoenix,102.8,190.86981164905833,1.018830525272547,1.665410568314345
2006,Phoenix,107.2,224.592487185165,1.062438057482656,1.959653538139923
2007,Phoenix,113.697,208.74940084598458,1.126828543111992,1.8214166781774856
2008,Phoenix,117.588,151.402481738193,1.1653914767096134,1.3210433382698326
2009,Phoenix,116.525,109.04163657671666,1.1548562933597621,0.9514291043313442
2010,Phoenix,110.728,108.69277218146833,1.0974033696729435,0.9483851318679386
2011,Phoenix,110.319,100.77782239537775,1.0933498513379583,0.8793242316263176
2012,Phoenix,115.008,114.82581932159208,1.1398216055500494,1.0018982643789727
2013,Phoenix,119.547,137.3091771861765,1.184806739345887,1.1980739795188742
2014,Phoenix,124.808,146.40878364726174,1.2369474727452923,1.2774714527853996
2015,Phoenix,128.902,152.7913140261024,1.2775222993062436,1.333161419960788
2016,Phoenix,135.749,160.910716851818,1.3453815659068384,1.4040062495203753
2017,Phoenix,143.583,169.92442084359058,1.4230227948463825,1.482654191580255
2018,Phoenix,152.72,181.9836566010456,1.5135777998017839,1.5878755385431071
2019,Phoenix,162.18,193.18072575884534,1.6073339940535183,1.6855741591287072
2020,Phoenix,171.542,212.71588888919558,1.7001189296333001,1.8560257714080162
2021,Phoenix,178.239,271.0233281526088,1.7664915758176412,2.3647800092923092
2022,Phoenix,NA,NA,NA,NA
1987,Miami,107.717,69.95469452234,1,1
1988,Miami,111.283,73.9332696803525,1.0331052665781633,1.0568735977646495
1989,Miami,114.617,77.80454180676492,1.0640567412757505,1.112213302309798
1990,Miami,117.333,79.60553677402758,1.0892709600155963,1.137958464654657
1991,Miami,121.408,78.8510296553565,1.1271015717110577,1.1271728108279488
1992,Miami,124.933,78.93760589186225,1.1598262112758433,1.1284104152102838
1993,Miami,129.992,81.37801157210367,1.206791871292368,1.1632959321424188
1994,Miami,137.1,85.4772452392275,1.2727795983920829,1.221894339227375
1995,Miami,141.067,87.05681785030691,1.3096075828327933,1.2444742764548182
1996,Miami,145.55,87.68372298342717,1.3512258974906468,1.2534358641995844
1997,Miami,148.642,88.92706752178167,1.3799307444507367,1.271209432461789
1998,Miami,151.242,92.19494075421741,1.4040680672502948,1.3179235701583256
1999,Miami,152.925,96.61428346330658,1.4196923419701626,1.3810979252071902
2000,Miami,155.55,103.7494545269365,1.4440617544120242,1.4830949550327055
2001,Miami,160.6,116.69128528977208,1.4909438621573197,1.668097989513867
2002,Miami,168.342,132.56730003011816,1.56281738258585,1.8950450850411882
2003,Miami,174.6,152.7965034455239,1.620914061847248,2.184220865930998
2004,Miami,184.667,181.9654731312039,1.7143719190099984,2.601190304291777
2005,Miami,196.275,235.8170576763416,1.8221357817243333,3.3709968900090543
2006,Miami,210.067,276.57658329457,1.950174995590297,3.9536529347039804
2007,Miami,227.484,260.248450733766,2.11186720759026,3.7202428301742603
2008,Miami,238.849,191.16646015503315,2.217375158981405,2.732718103628974
2009,Miami,237.924,149.1849425634755,2.2087878422161777,2.132593724869077
2010,Miami,236.91,146.03277141506993,2.1993742863243497,2.087533544563395
2011,Miami,237.646,138.95678314776734,2.2062070053937632,1.9863825308163063
2012,Miami,241.606,145.99798101772083,2.242970004734629,2.087036217006086
2013,Miami,246.586,166.03662324645066,2.2892022614814747,2.3734879321562463
2014,Miami,257.612,186.0020534489826,2.3915630773229855,2.6588930838599105
2015,Miami,271.909,200.73947498361974,2.5242905019634785,2.8695640278939916
2016,Miami,285.286,213.90984133032367,2.6484770277672047,3.057833970842538
2017,Miami,298.622,224.85074419471783,2.772282926557554,3.2142338084674478
2018,Miami,308.597,235.68557640644218,2.864886693836627,3.369117369688121
2019,Miami,321.426,243.91418678908374,2.9839858146810623,3.486745077718692
2020,Miami,326.679,256.1672843498671,3.0327524903218617,3.66190269429395
2021,Miami,334.593,307.02483918564775,3.10622278748944,4.388909726245742
2022,Miami,NA,NA,NA,NA
1987,Denver,110.1,50.245878650322666,1,1
1988,Denver,108.2,48.43942456988075,0.9827429609445959,0.9640477163706577
1989,Denver,107.2,47.66040511458483,0.9736603088101726,0.9485435700362416
1990,Denver,107.2,48.57570540636883,0.9736603088101726,0.9667599952709135
1991,Denver,110.2,50.03512085947192,1.0009082652134424,0.9958054710851515
1992,Denver,114.6,53.925107125340254,1.0408719346049047,1.073224482760517
1993,Denver,122.9,58.78382402144967,1.1162579473206178,1.1699232972030469
1994,Denver,129.6,65.48573027658408,1.1771117166212535,1.3033055055583858
1995,Denver,136,69.73863672701309,1.2352406902815622,1.3879474018624858
1996,Denver,143.9,73.39564567763524,1.306993642143506,1.4607296687638662
1997,Denver,150,77.57938689239874,1.3623978201634879,1.5439950295684708
1998,Denver,158.2,83.6653547502495,1.4368755676657583,1.6651187519777253
1999,Denver,168.2,94.15709101854516,1.5277020890099908,1.873926649264407
2000,Denver,178.9,107.36018146113717,1.6248864668483198,2.136696269325718
2001,Denver,189.2,119.59967064578916,1.7184377838328793,2.3802881720533136
2002,Denver,196.3,124.117746481181,1.7829246139872845,2.4702075038821905
2003,Denver,194.2,125.92104962181901,1.7638510445049955,2.506097077098489
2004,Denver,192.3,130.096026831818,1.7465940054495914,2.589188015542496
2005,Denver,194.2,135.45381513662943,1.7638510445049955,2.695819413952264
2006,Denver,194.9,138.29544812091027,1.7702089009990918,2.752373962516469
2007,Denver,197.709,135.960979157812,1.7957220708446868,2.705913058143703
2008,Denver,202.499,129.34575750822134,1.839227974568574,2.574256058061604
2009,Denver,207.172,125.682538550647,1.881671207992734,2.501350198795656
2010,Denver,210.583,126.75880996140583,1.9126521344232517,2.5227702921380164
2011,Denver,215.475,124.0886929292815,1.95708446866485,2.46962927632045
2012,Denver,223.071,129.74563260249684,2.0260762942779293,2.5822144241011027
2013,Denver,237.66,142.18150921926159,2.15858310626703,2.8297148549983318
2014,Denver,252.558,153.2779453430605,2.2938964577656678,3.050557567313557
2015,Denver,269.562,168.94527183319866,2.448337874659401,3.362370733109147
2016,Denver,290.046,184.54568614858098,2.6343869209809263,3.6728522041159666
2017,Denver,303.287,198.7786497141361,2.7546503178928248,3.9561184927723336
2018,Denver,316.309,213.8997691252384,2.872924613987285,4.257060974370378
2019,Denver,326.164,221.7690718633071,2.9624341507720255,4.413676859084699
2020,Denver,331.615,233.415901281092,3.0119436875567667,4.645473570190877
2021,Denver,335.57,274.8549273946309,3.0478655767484106,5.470198447666431
2022,Denver,NA,NA,NA,NA
1987,Boston,131.75,72.50680023900625,1,1
1988,Boston,139.767,74.7157426540245,1.0608500948766604,1.0304653137048778
1989,Boston,150.025,74.12757703672034,1.1387096774193548,1.022353445364731
1990,Boston,154.717,69.89633169759725,1.1743225806451614,0.9639969143197046
1991,Boston,155.6,64.2262342220955,1.1810246679316887,0.8857960082417747
1992,Boston,155.708,64.01446492142708,1.1818444022770398,0.8828753263199363
1993,Boston,156.7,65.4205858776975,1.1893738140417456,0.9022682791414012
1994,Boston,157.8,68.04654422880083,1.1977229601518027,0.938484997331244
1995,Boston,162.925,69.56355062696909,1.2366223908918408,0.959407261079854
1996,Boston,169.85,72.331169344104,1.2891840607210625,0.9975777320979092
1997,Boston,176.333,76.699711158789,1.3383908918406071,1.0578278300236879
1998,Boston,184.7,83.94095173535067,1.401897533206831,1.157697642961125
1999,Boston,191.8,94.68740043024417,1.455787476280835,1.305910619667719
2000,Boston,204.708,108.23893594718658,1.5537609108159394,1.4928108203698889
2001,Boston,218.575,125.13937606944074,1.6590132827324477,1.7258984765144816
2002,Boston,234.742,139.5203850757556,1.7817229601518025,1.9242386178379205
2003,Boston,246.2,153.253884625165,1.8686907020872865,2.113648431871077
2004,Boston,253.425,167.67037340221893,1.923529411764706,2.312477903445225
2005,Boston,257.175,179.630411327436,1.9519924098671728,2.4774284720235222
2006,Boston,260.925,176.306751865559,1.9804554079696395,2.4315891927983855
2007,Boston,268.126,169.26300046156217,2.035111954459203,2.334443112971689
2008,Boston,272.465,159.6873811178636,2.068045540796964,2.202377992015666
2009,Boston,277.567,151.80662794516817,2.1067703984819737,2.093688142970916
2010,Boston,277.009,154.70290910309885,2.1025351043643266,2.1336331019041963
2011,Boston,280.537,151.61459309949976,2.129313092979127,2.0910396348994604
2012,Boston,287.859,152.3125219870094,2.184888045540797,2.1006653373881794
2013,Boston,294.214,163.30118973279542,2.233123339658444,2.252218953180957
2014,Boston,302.64,173.66647274682592,2.29707779886148,2.3951749653048284
