"","fips","netwp_h"
"490","13213",-0.054671261459589
"491","13215",-0.0219430439174175
"492","13217",-0.199492841959
"493","13219",-0.00467924308031797
"494","13221",NA
"495","13223",-0.140951126813889
"496","13225",NA
"497","13227",-0.053496178239584
"498","13229",NA
"499","13231",NA
"500","13233",NA
"501","13235",NA
"502","13237",NA
"503","13239",NA
"504","13241",NA
"505","13243",NA
"506","13245",-0.0249089319258928
"507","13247",-0.189680486917496
"508","13249",NA
"509","13251",NA
"510","13253",NA
"511","13255",-0.100752003490925
"512","13257",NA
"513","13259",NA
"514","13261",NA
"515","13263",NA
"516","13265",NA
"517","13267",NA
"518","13269",NA
"519","13271",NA
"520","13273",NA
"521","13275",NA
"522","13277",NA
"523","13279",NA
"524","13281",NA
"525","13283",NA
"526","13285",-0.057708740234375
"527","13287",NA
"528","13289",NA
"529","13291",-0.0796255841851234
"530","13293",NA
"531","13295",NA
"532","13297",-0.0946883410215378
"533","13299",NA
"534","13301",NA
"535","13303",NA
"536","13305",NA
"537","13307",NA
"538","13309",NA
"539","13311",-0.0654417127370834
"540","13313",-0.0424739122390747
"541","13315",NA
"542","13317",NA
"543","13319",NA
"544","13321",NA
"545","15001",-0.166361927986145
"546","15003",-0.0824061408638954
"547","15007",-0.155416250228882
"548","15009",-0.11319512873888
"549","16001",-0.120235159993172
"550","16003",NA
"551","16005",-0.0928907245397568
"552","16007",NA
"553","16009",NA
"554","16011",NA
"555","16013",NA
"556","16015",NA
"557","16017",NA
"558","16019",-0.034948468208313
"559","16021",NA
"560","16023",NA
"561","16025",NA
"562","16027",-0.190471231937408
"563","16029",NA
"564","16031",NA
"565","16033",NA
"566","16035",NA
"567","16037",NA
"568","16039",NA
"569","16041",NA
"570","16043",NA
"571","16045",NA
"572","16047",NA
"573","16049",NA
"574","16051",NA
"575","16053",NA
"576","16055",-0.0706861689686775
"577","16057",NA
"578","16059",NA
"579","16061",NA
"580","16063",NA
"581","16065",NA
"582","16067",NA
"583","16069",-0.0741447657346725
"584","16071",NA
"585","16073",NA
"586","16075",NA
"587","16077",NA
"588","16079",NA
"589","16081",NA
"590","16083",-0.0210178643465042
"591","16085",NA
"592","16087",NA
"593","17001",NA
"594","17003",NA
"595","17005",NA
"596","17007",-0.109507866203785
"597","17009",NA
"598","17011",NA
"599","17013",NA
"600","17015",NA
"601","17017",NA
"602","17019",-0.00569875538349152
"603","17021",-0.0347286462783813
"604","17023",NA
"605","17025",NA
"606","17027",NA
"607","17029",NA
"608","17031",-0.101308323442936
"609","17033",NA
"610","17035",NA
"611","17037",-0.0785694122314453
"612","17039",NA
"613","17041",NA
"614","17043",-0.0809428170323372
"615","17045",NA
"616","17047",NA
"617","17049",NA
"618","17051",NA
"619","17053",NA
"620","17055",NA
"621","17057",NA
"622","17059",NA
"623","17061",NA
"624","17063",-0.0800923928618431
"625","17065",NA
"626","17067",NA
"627","17069",NA
"628","17071",NA
"629","17073",NA
"630","17075",NA
"631","17077",NA
"632","17079",NA
"633","17081",NA
"634","17083",NA
"635","17085",NA
"636","17087",NA
"637","17089",-0.112351819872856
"638","17091",NA
"639","17093",-0.139609888195992
"640","17095",NA
"641","17097",-0.0556173883378506
"642","17099",-0.0547146201133728
"643","17101",NA
"644","17103",NA
"645","17105",-0.0314911231398582
"646","17107",NA
"647","17109",NA
"648","17111",-0.131363719701767
"649","17113",-0.00336197065189481
"650","17115",-0.0143418656662107
"651","17117",NA
"652","17119",-0.00904789473861456
"653","17121",NA
"654","17123",NA
"655","17125",NA
"656","17127",NA
"657","17129",NA
"658","17131",NA
"659","17133",-0.0278125405311584
"660","17135",NA
"661","17137",NA
"662","17139",NA
"663","17141",NA
"664","17143",-0.00464526889845729
"665","17145",NA
"666","17147",NA
"667","17149",NA
"668","17151",NA
"669","17153",NA
"670","17155",NA
"671","17157",NA
"672","17159",NA
"673","17161",0.00110933126416057
"674","17163",-0.0248481761664152
"675","17165",NA
"676","17167",0.00482314173132181
"677","17169",NA
"678","17171",NA
"679","17173",NA
"680","17175",NA
"681","17177",NA
"682","17179",0.00434645917266607
"683","17181",NA
"684","17183",-0.0389605574309826
"685","17185",NA
"686","17187",NA
"687","17189",NA
"688","17191",NA
"689","17193",NA
"690","17195",NA
"691","17197",-0.115934506058693
"692","17199",NA
"693","17201",-0.0533409304916859
"694","17203",-0.0159499309957027
"695","18001",NA
"696","18003",-0.0315578877925873
"697","18005",NA
"698","18007",NA
"699","18009",NA
"700","18011",-0.0197841115295887
"701","18013",NA
"702","18015",NA
"703","18017",NA
"704","18019",NA
"705","18021",NA
"706","18023",NA
"707","18025",NA
"708","18027",NA
"709","18029",NA
"710","18031",NA
"711","18033",NA
"712","18035",NA
"713","18037",NA
"714","18039",-0.0556647144258022
"715","18041",NA
"716","18043",NA
"717","18045",NA
"718","18047",NA
"719","18049",NA
"720","18051",NA
"721","18053",NA
"722","18055",NA
"723","18057",-0.032822422683239
"724","18059",-0.0360626690089703
"725","18061",NA
"726","18063",-0.0385749749839306
"727","18065",NA
"728","18067",-0.0452971719205379
"729","18069",NA
"730","18071",NA
"731","18073",NA
"732","18075",NA
"733","18077",NA
"734","18079",NA
"735","18081",-0.0211220476776361
"736","18083",NA
"737","18085",NA
"738","18087",NA
"739","18089",-0.046810582280159
"740","18091",NA
"741","18093",NA
"742","18095",NA
"743","18097",-0.0453265197575092
"744","18099",NA
"745","18101",NA
"746","18103",NA
"747","18105",NA
"748","18107",NA
"749","18109",NA
"750","18111",NA
"751","18113",NA
"752","18115",NA
"753","18117",NA
"754","18119",NA
"755","18121",NA
"756","18123",NA
"757","18125",NA
"758","18127",-0.0152642969042063
"759","18129",NA
"760","18131",NA
"761","18133",NA
"762","18135",NA
"763","18137",NA
"764","18139",NA
"765","18141",-0.00413840264081955
"766","18143",NA
"767","18145",NA
"768","18147",NA
"769","18149",NA
"770","18151",NA
"771","18153",NA
"772","18155",NA
"773","18157",-0.0320889465510845
"774","18159",NA
"775","18161",NA
"776","18163",NA
"777","18165",NA
"778","18167",NA
"779","18169",NA
"780","18171",NA
"781","18173",NA
"782","18175",NA
"783","18177",NA
"784","18179",NA
"785","18181",NA
"786","18183",NA
"787","19001",NA
"788","19003",NA
"789","19005",NA
"790","19007",NA
"791","19009",NA
"792","19011",NA
"793","19013",0.0133254043757915
"794","19015",NA
"795","19017",NA
"796","19019",NA
"797","19021",NA
"798","19023",NA
"799","19025",NA
"800","19027",NA
"801","19029",NA
"802","19031",NA
"803","19033",0.0130673414096236
"804","19035",NA
"805","19037",NA
"806","19039",NA
"807","19041",NA
"808","19043",NA
"809","19045",NA
"810","19047",NA
"811","19049",-0.0164349377155304
"812","19051",NA
"813","19053",NA
"814","19055",NA
"815","19057",NA
"816","19059",NA
"817","19061",0.0109929563477635
"818","19063",NA
"819","19065",NA
"820","19067",NA
"821","19069",NA
"822","19071",NA
"823","19073",NA
"824","19075",NA
"825","19077",NA
"826","19079",NA
"827","19081",NA
"828","19083",NA
"829","19085",NA
"830","19087",NA
"831","19089",NA
"832","19091",NA
"833","19093",NA
"834","19095",NA
"835","19097",NA
"836","19099",NA
"837","19101",NA
"838","19103",-0.000658165372442454
"839","19105",NA
"840","19107",NA
"841","19109",NA
"842","19111",NA
"843","19113",0.00855657644569874
"844","19115",NA
"845","19117",NA
"846","19119",NA
"847","19121",NA
"848","19123",NA
"849","19125",NA
"850","19127",0.0214879475533962
"851","19129",NA
"852","19131",NA
"853","19133",NA
"854","19135",NA
"855","19137",NA
"856","19139",-0.000574873411096632
"857","19141",NA
"858","19143",NA
"859","19145",NA
"860","19147",NA
"861","19149",NA
"862","19151",NA
"863","19153",-0.0113260177895427
"864","19155",-0.0096783684566617
"865","19157",NA
"866","19159",NA
"867","19161",NA
